subjectId	activityId	freq	timeBodyAccMagnitudeMean	timeBodyAccMagnitudeStdDev	timeGravityAccMagnitudeMean	timeGravityAccMagnitudeStdDev	timeBodyAccJerkMagnitudeMean	timeBodyAccJerkMagnitudeStdDev	timeBodyGyroMagnitudeMean	timeBodyGyroMagnitudeStdDev	timeBodyGyroJerkMagnitudeMean	timeBodyGyroJerkMagnitudeStdDev	freqBodyAccMagnitudeMean	freqBodyAccMagnitudeStdDev	freqBodyBodyAccJerkMagnitudeMean	freqBodyBodyAccJerkMagnitudeStdDev	freqBodyBodyGyroMagnitudeMean	freqBodyBodyGyroMagnitudeStdDev	freqBodyBodyGyroJerkMagnitudeMean	freqBodyBodyGyroJerkMagnitudeStdDev	activityType
17	1	28	-0.18066602	-0.39269402	-0.18066602	-0.39269402	-0.299223359	-0.390449724	-0.310775946	-0.460511661	-0.546248759	-0.579861194	-0.352156842	-0.511573671	-0.360811456	-0.43627301	-0.514602425	-0.516811574	-0.595965104	-0.589071731	WALKING
18	1	6	-0.166840714	-0.266734167	-0.166840714	-0.266734167	-0.195117026	-0.070602965	-0.281207841	-0.365602917	-0.321290483	-0.364708342	-0.201386608	-0.421683094	-0.055401423	-0.09649997	-0.329681123	-0.510648323	-0.366500534	-0.408078906	WALKING
19	1	26	-0.223399172	-0.421848314	-0.223399172	-0.421848314	-0.290758025	-0.279350754	-0.392092024	-0.538329286	-0.512398826	-0.603468672	-0.379836743	-0.537183967	-0.293358341	-0.268948465	-0.551927613	-0.609466217	-0.619461036	-0.612930343	WALKING
20	1	13	-0.135643868	-0.292546377	-0.135643868	-0.292546377	-0.133205035	-0.131788529	-0.218669558	-0.253240072	-0.30350821	-0.32211838	-0.234600866	-0.438388953	-0.152111501	-0.113591924	-0.267472374	-0.379951835	-0.338527134	-0.349285611	WALKING
21	1	22	0.072241912	-0.161591787	0.072241912	-0.161591787	0.022919967	0.111532925	-0.210608044	-0.390775684	-0.461999529	-0.503106312	-0.024158496	-0.381399308	0.065972729	0.158286745	-0.438378723	-0.464019127	-0.553946122	-0.47640527	WALKING
22	1	20	0.039402281	-0.156930392	0.039402281	-0.156930392	-0.04293593	0.021076572	0.068627515	-0.036785319	-0.194893253	-0.149864147	-0.003533418	-0.389934004	0.054526949	-0.031065027	-0.05200656	-0.196210236	-0.180365335	-0.171975765	WALKING
23	1	29	-0.095521339	-0.262695064	-0.095521339	-0.262695064	-0.240231677	-0.133036274	-0.280573268	-0.358814097	-0.506242118	-0.612222937	-0.235683306	-0.393257505	-0.108978206	-0.169506499	-0.416817853	-0.429156831	-0.628501116	-0.618667723	WALKING
24	1	7	-0.097809044	-0.198554708	-0.097809044	-0.198554708	-0.1929489	-0.027557329	-0.305959351	-0.198283167	-0.30002278	-0.095340116	-0.15124365	-0.351706781	-0.03841873	-0.022138358	-0.192909765	-0.343894915	-0.155339856	-0.084166377	WALKING
25	1	27	-0.238853875	-0.407355787	-0.238853875	-0.407355787	-0.230500549	-0.26613894	-0.396638754	-0.482452356	-0.562587199	-0.618718629	-0.327229406	-0.550392605	-0.259934013	-0.279732022	-0.519451704	-0.546888146	-0.6232882	-0.639242384	WALKING
26	1	14	-0.144404672	-0.363805628	-0.144404672	-0.363805628	-0.377293155	-0.439746918	-0.137208742	-0.201401931	-0.519895047	-0.606103314	-0.373516771	-0.457490009	-0.431591453	-0.453426009	-0.31138645	-0.265504552	-0.591036936	-0.655677662	WALKING
27	1	23	-0.09887702	-0.209989355	-0.09887702	-0.209989355	-0.067081966	-0.026819436	-0.012096826	0.163346452	0.011530541	0.250173204	-0.094260631	-0.407577516	-0.01807057	-0.045737233	0.185078207	-0.061476585	0.146618569	0.287834616	WALKING
28	1	30	-0.195140033	-0.359873412	-0.195140033	-0.359873412	-0.352111714	-0.353751021	-0.02296408	-0.266845731	-0.47206873	-0.546977272	-0.342363773	-0.469852795	-0.347180135	-0.366537417	-0.358344356	-0.331541741	-0.547621753	-0.578580045	WALKING
29	1	25	-0.40528943	-0.565601466	-0.40528943	-0.565601466	-0.538291425	-0.542870063	-0.394362401	-0.489809386	-0.678466069	-0.757032545	-0.566060023	-0.632927476	-0.564591342	-0.51900425	-0.562733253	-0.529262243	-0.770300896	-0.75738578	WALKING
30	1	24	-0.299983614	-0.481064019	-0.299983614	-0.481064019	-0.399722201	-0.409824563	-0.403064157	-0.563863213	-0.507824746	-0.556022766	-0.434618912	-0.590265846	-0.418641047	-0.402979984	-0.534509164	-0.668032802	-0.571594392	-0.567447732	WALKING
31	2	1	-0.129927631	-0.324970929	-0.129927631	-0.324970929	-0.466503446	-0.478991622	-0.12673559	-0.148619318	-0.594882865	-0.648553044	-0.352395945	-0.416260102	-0.442652162	-0.533059854	-0.325961457	-0.182985518	-0.634665082	-0.693930522	WALKING_UPSTAIRS
32	2	8	0.121026629	-0.227200254	0.121026629	-0.227200254	-0.141494613	-0.228296364	0.166447991	-0.109327924	-0.400664014	-0.493975032	-0.130264519	-0.409282852	-0.131850567	-0.3792665	-0.229610953	-0.183325647	-0.463270578	-0.575733291	WALKING_UPSTAIRS
33	2	15	-0.000971395	-0.136552217	-0.000971395	-0.136552217	-0.316050382	-0.313363553	-0.201217274	-0.288429009	-0.663637118	-0.748954849	-0.165242148	-0.255659341	-0.26195668	-0.391313399	-0.453693566	-0.30858587	-0.731422358	-0.793104483	WALKING_UPSTAIRS
34	2	2	-0.10732268	-0.205977045	-0.10732268	-0.205977045	-0.321268911	-0.217389395	-0.219713473	-0.377532168	-0.572816439	-0.597291719	-0.145318539	-0.366728244	-0.189511137	-0.260423839	-0.450612185	-0.438620402	-0.600798496	-0.621820203	WALKING_UPSTAIRS
35	2	17	-0.012806228	-0.10287773	-0.012806228	-0.10287773	-0.357233898	-0.39091245	-0.235191249	-0.44083726	-0.637367491	-0.682311629	-0.150305643	-0.217393171	-0.360299853	-0.437383108	-0.504066957	-0.49644458	-0.669008764	-0.724155743	WALKING_UPSTAIRS
36	2	9	-0.260727581	-0.400222037	-0.260727581	-0.400222037	-0.44066754	-0.445485398	-0.083323449	-0.425839761	-0.672840562	-0.748651256	-0.372890349	-0.509929461	-0.419533109	-0.484935752	-0.531482694	-0.456841325	-0.734159449	-0.787781591	WALKING_UPSTAIRS
37	2	18	-0.279146313	-0.37184157	-0.279146313	-0.37184157	-0.601463948	-0.57933032	-0.3691086	-0.528058134	-0.781652689	-0.835525128	-0.436561064	-0.436218933	-0.574481397	-0.587926077	-0.654029089	-0.533044636	-0.826193161	-0.860910992	WALKING_UPSTAIRS
38	2	16	-0.233990332	-0.33479508	-0.233990332	-0.33479508	-0.48321905	-0.49306713	-0.308260568	-0.518189646	-0.737705162	-0.797293228	-0.370649738	-0.418924256	-0.475597718	-0.51993124	-0.630546675	-0.532486722	-0.787833632	-0.825314327	WALKING_UPSTAIRS
39	2	11	-0.132594624	-0.289592148	-0.132594624	-0.289592148	-0.509587701	-0.490485807	-0.255048337	-0.377909862	-0.757314814	-0.80112704	-0.336061027	-0.376027879	-0.475928502	-0.513703461	-0.55009966	-0.381223383	-0.795986114	-0.822428719	WALKING_UPSTAIRS
40	2	3	-0.184014895	-0.333597433	-0.184014895	-0.333597433	-0.436901159	-0.439020592	-0.347321812	-0.408886653	-0.658861401	-0.71802804	-0.315866079	-0.447994369	-0.412920898	-0.480609202	-0.514211584	-0.445181802	-0.716877779	-0.740033436	WALKING_UPSTAIRS
41	2	12	-0.229183927	-0.285844036	-0.229183927	-0.285844036	-0.432469301	-0.329827968	-0.316561586	-0.525686949	-0.674972132	-0.713406712	-0.290005419	-0.395285131	-0.320884463	-0.346565142	-0.594032515	-0.564435087	-0.714332592	-0.733130764	WALKING_UPSTAIRS
42	2	10	-0.026662329	-0.21153748	-0.026662329	-0.21153748	-0.262038042	-0.226010198	0.043857385	-0.113062674	-0.523462969	-0.618272355	-0.166866722	-0.361437535	-0.153553147	-0.334365044	-0.265371689	-0.166969378	-0.600582998	-0.671290562	WALKING_UPSTAIRS
43	2	19	0.017381193	-0.177666828	0.017381193	-0.177666828	-0.114189606	-0.284060693	-0.061615771	-0.264401443	-0.372790527	-0.50740029	-0.079628763	-0.368253499	-0.187391317	-0.43467125	-0.288840268	-0.377132753	-0.477183915	-0.588289661	WALKING_UPSTAIRS
44	2	28	-0.186240504	-0.211928666	-0.186240504	-0.211928666	-0.388086248	-0.325362338	-0.263415283	-0.476923345	-0.620279798	-0.670132121	-0.213519365	-0.334626169	-0.294433416	-0.374495908	-0.53483541	-0.528187017	-0.662505819	-0.704852757	WALKING_UPSTAIRS
45	2	6	0.017779097	-0.079150884	0.017779097	-0.079150884	-0.207379799	-0.169970363	-0.129121244	-0.19989371	-0.342895368	-0.440079851	-0.08194794	-0.222161434	-0.169868234	-0.177734841	-0.230627015	-0.318173893	-0.459236334	-0.455937719	WALKING_UPSTAIRS
46	2	4	-0.153703935	-0.2120123	-0.153703935	-0.2120123	-0.400922255	-0.437261478	-0.299779408	-0.510974134	-0.686978374	-0.755270458	-0.276825498	-0.301005898	-0.397406285	-0.497324087	-0.575794072	-0.552489629	-0.740749226	-0.794209483	WALKING_UPSTAIRS
47	2	13	-0.101153502	-0.326339622	-0.101153502	-0.326339622	-0.456190454	-0.451225931	-0.237182958	-0.415658606	-0.631964902	-0.669216383	-0.367522801	-0.409065516	-0.425100007	-0.491090809	-0.485477309	-0.4707708	-0.656088544	-0.7122615	WALKING_UPSTAIRS
48	2	22	0.210282608	-0.158757475	0.210282608	-0.158757475	-0.095784034	-0.087650161	-0.128031924	-0.202558177	-0.568111869	-0.675633024	-0.086690512	-0.334126221	-0.045802036	-0.151299836	-0.369902	-0.234023032	-0.667996003	-0.709870535	WALKING_UPSTAIRS
49	2	20	0.008725025	-0.198269719	0.008725025	-0.198269719	-0.255611242	-0.23944437	0.022330254	-0.253929986	-0.371928416	-0.455396069	-0.205009295	-0.320241012	-0.215014032	-0.280450027	-0.286627717	-0.360948342	-0.450393446	-0.502821544	WALKING_UPSTAIRS
50	2	29	0.008343603	-0.041469605	0.008343603	-0.041469605	-0.344324833	-0.254485176	0.043962768	-0.080047615	-0.617340803	-0.712846318	-0.108306403	-0.155993756	-0.239108047	-0.280583557	-0.357213897	-0.07433147	-0.697454553	-0.756464186	WALKING_UPSTAIRS
51	2	7	-0.198074438	-0.334744607	-0.198074438	-0.334744607	-0.458695232	-0.471265711	-0.239099166	-0.418144852	-0.661969772	-0.676428073	-0.378618762	-0.415307107	-0.454783247	-0.497441363	-0.533982946	-0.444994482	-0.673327282	-0.704090968	WALKING_UPSTAIRS
52	2	5	0.043556202	-0.136736384	0.043556202	-0.136736384	-0.247403477	-0.310186546	-0.235516929	-0.35468787	-0.473488168	-0.557988066	-0.169261525	-0.254091927	-0.264674939	-0.378616676	-0.392564531	-0.440445052	-0.571344139	-0.57248502	WALKING_UPSTAIRS
53	2	14	0.140108204	-0.019768669	0.140108204	-0.019768669	-0.283663836	-0.337086267	0.365779419	0.29997598	-0.39992195	-0.485819294	-0.075985181	-0.143253889	-0.288744334	-0.409847649	0.048858867	0.236659662	-0.457250612	-0.564964076	WALKING_UPSTAIRS
54	2	23	-0.011753687	-0.271893714	-0.011753687	-0.271893714	-0.311143885	-0.362708849	-0.156527149	-0.366732989	-0.504367151	-0.551275189	-0.231382662	-0.410047643	-0.302968065	-0.454324845	-0.380388292	-0.470491576	-0.51871565	-0.632659462	WALKING_UPSTAIRS
55	2	21	-0.081045319	-0.278474284	-0.081045319	-0.278474284	-0.355047694	-0.404183876	-0.168982721	-0.420236003	-0.577935643	-0.647723419	-0.257894449	-0.403357612	-0.355443707	-0.47772185	-0.475369887	-0.483407096	-0.628915749	-0.70098041	WALKING_UPSTAIRS
56	2	30	-0.137627857	-0.327410816	-0.137627857	-0.327410816	-0.5966001	-0.561837706	-0.113608367	-0.169293534	-0.718780257	-0.774439097	-0.400588354	-0.394508081	-0.549784891	-0.580878133	-0.449150735	-0.151472278	-0.773974452	-0.791349425	WALKING_UPSTAIRS
57	2	27	-0.160589356	-0.379948786	-0.160589356	-0.379948786	-0.479067422	-0.464610567	-0.28614572	-0.501775426	-0.699895091	-0.724671165	-0.393928937	-0.468707735	-0.460770278	-0.473011559	-0.60766773	-0.523335975	-0.719179804	-0.751714313	WALKING_UPSTAIRS
58	2	25	-0.305772199	-0.48000665	-0.305772199	-0.48000665	-0.679160844	-0.67451306	-0.3186347	-0.387754116	-0.777106027	-0.824883303	-0.527907562	-0.536120293	-0.654795111	-0.703433693	-0.56715347	-0.386612993	-0.822403906	-0.841061012	WALKING_UPSTAIRS
59	2	26	-0.142874499	-0.150707107	-0.142874499	-0.150707107	-0.404463896	-0.334531345	-0.344427048	-0.51403241	-0.64809985	-0.661829657	-0.167566383	-0.274226227	-0.294970471	-0.393715352	-0.556084778	-0.569632	-0.673580663	-0.669846295	WALKING_UPSTAIRS
60	2	24	-0.226402822	-0.30685447	-0.226402822	-0.30685447	-0.488487621	-0.44106869	-0.33443584	-0.50392906	-0.658751629	-0.638180353	-0.322300989	-0.406283378	-0.429800779	-0.459647798	-0.564664995	-0.54907099	-0.64611467	-0.653876951	WALKING_UPSTAIRS
61	3	10	0.250843769	0.156998205	0.250843769	0.156998205	0.050701023	0.110877231	-0.023846804	-0.280382851	-0.401854311	-0.494105756	0.220115703	-0.061674284	0.156978047	0.03802667	-0.31234751	-0.387780104	-0.484196485	-0.544988519	WALKING_DOWNSTAIRS
62	3	8	0.176599312	0.131337867	0.176599312	0.131337867	0.26262849	0.253408256	0.099342974	-0.046629187	-0.126189143	-0.157484867	0.301626757	-0.156141094	0.33152846	0.134734731	-0.00036273	-0.255590314	-0.125179587	-0.26298447	WALKING_DOWNSTAIRS
63	3	11	0.126227657	0.050774365	0.126227657	0.050774365	-0.19820614	-0.127017223	-0.19788336	-0.339349828	-0.599294761	-0.677750588	0.090280758	-0.13712306	-0.097454997	-0.173661754	-0.456170109	-0.380559427	-0.668340528	-0.714229669	WALKING_DOWNSTAIRS
64	3	9	0.145886358	0.265120131	0.145886358	0.265120131	-0.162376089	0.039907819	-0.168921401	-0.322331465	-0.469028434	-0.455855425	0.222203941	0.088867167	0.007168779	0.070552614	-0.347540227	-0.424170737	-0.463172054	-0.485158907	WALKING_DOWNSTAIRS
65	3	4	-0.049161673	-0.081955904	-0.049161673	-0.081955904	-0.228851414	-0.216858922	-0.346606293	-0.380572625	-0.592843015	-0.637079544	-0.019074335	-0.26364403	-0.175295287	-0.280426777	-0.42921337	-0.457674088	-0.621752456	-0.685470932	WALKING_DOWNSTAIRS
66	3	13	-0.02946343	-0.01560982	-0.02946343	-0.01560982	-0.127926052	-0.043395984	-0.102114481	-0.236762631	-0.323552439	-0.27649151	0.052879188	-0.210912766	-0.028215666	-0.070989384	-0.206121707	-0.400560061	-0.266399903	-0.343094861	WALKING_DOWNSTAIRS
67	3	5	0.211138854	0.205422376	0.211138854	0.205422376	-0.063752856	-0.029257051	-0.218029835	-0.360678305	-0.397195621	-0.450303212	0.155742169	0.042853362	0.009183943	-0.0897357	-0.349338415	-0.484141274	-0.453697247	-0.487128423	WALKING_DOWNSTAIRS
68	3	14	0.185537707	0.428405923	0.185537707	0.428405923	0.035360138	0.194708839	0.166340012	-0.066514457	-0.275120883	-0.274744004	0.471905155	0.178684581	0.186223478	0.194263424	-0.078756841	-0.223927431	-0.254747132	-0.356849425	WALKING_DOWNSTAIRS
69	3	12	0.018313943	0.097260827	0.018313943	0.097260827	-0.10709102	0.065578127	-0.213351511	-0.320458626	-0.442831079	-0.452449935	0.148017269	-0.105124972	0.076996837	0.042063125	-0.34493842	-0.423553972	-0.458227491	-0.486780424	WALKING_DOWNSTAIRS
70	3	1	0.027188291	0.019884351	0.027188291	0.019884351	-0.089447481	-0.02578772	-0.075741254	-0.225724368	-0.295463843	-0.306510646	0.096584534	-0.186530301	0.026218495	-0.104052261	-0.185720286	-0.39835039	-0.281963359	-0.391919877	WALKING_DOWNSTAIRS
71	3	30	-0.037390112	-0.013577121	-0.037390112	-0.013577121	-0.293738802	-0.125283185	-0.095537321	-0.208267542	-0.574337006	-0.617662074	0.00410151	-0.178535173	-0.1259614	-0.133124305	-0.356772347	-0.252361883	-0.617578814	-0.645503942	WALKING_DOWNSTAIRS
72	3	28	0.104359217	0.135465564	0.104359217	0.135465564	-0.070756028	-0.041887261	-0.068246324	-0.224484145	-0.340417306	-0.407132335	0.188840008	-0.074058598	-0.012882383	-0.088359852	-0.223354794	-0.362903837	-0.396720714	-0.464722244	WALKING_DOWNSTAIRS
73	3	6	0.333754731	0.373611914	0.333754731	0.373611914	0.103845072	0.209502174	0.014267782	-0.042627675	-0.082936685	-0.111228416	0.395958035	0.144622757	0.243834259	0.154808861	-0.014373543	-0.242353857	-0.132705384	-0.145733545	WALKING_DOWNSTAIRS
74	3	15	0.320449387	0.353204008	0.320449387	0.353204008	-0.037266607	0.159631711	-0.121686321	-0.284249712	-0.509466648	-0.563640131	0.331150229	0.153124178	0.158413335	0.150507751	-0.373898631	-0.349387206	-0.565396131	-0.593472444	WALKING_DOWNSTAIRS
75	3	24	-0.073769916	-0.022483912	-0.073769916	-0.022483912	-0.263106945	-0.14350197	-0.304965806	-0.363694877	-0.497152238	-0.459159852	-0.023170163	-0.175291709	-0.200830137	-0.082755491	-0.374298687	-0.47014727	-0.474449926	-0.478030486	WALKING_DOWNSTAIRS
76	3	2	0.08995112	0.215586335	0.08995112	0.215586335	0.005655163	0.229617185	-0.162188587	-0.274844111	-0.410872671	-0.343187875	0.293424827	-0.021478788	0.22224741	0.227480733	-0.320838544	-0.372576755	-0.380175306	-0.343698985	WALKING_DOWNSTAIRS
77	3	22	0.330999222	0.133267479	0.330999222	0.133267479	-0.017978463	-0.033764098	-0.16133331	-0.263921984	-0.459579671	-0.617659356	0.155526859	-0.057520261	0.022478354	-0.118530349	-0.338417326	-0.341863672	-0.583510518	-0.697451439	WALKING_DOWNSTAIRS
78	3	29	0.103705166	0.13448115	0.103705166	0.13448115	-0.138637624	-0.030769337	-0.122968109	-0.267409798	-0.539174456	-0.597057049	0.115973968	-0.033086811	0.000448896	-0.079771432	-0.381459882	-0.323024575	-0.596578626	-0.626675982	WALKING_DOWNSTAIRS
79	3	7	0.019879529	0.214544028	0.019879529	0.214544028	-0.170319619	0.090183628	-0.188740819	-0.259751603	-0.399229959	-0.294778677	0.218911066	0.021444098	0.067389886	0.10785684	-0.255045057	-0.396909652	-0.289096677	-0.353544696	WALKING_DOWNSTAIRS
80	3	16	0.191079794	0.119183741	0.191079794	0.119183741	-0.165908811	-0.078349888	-0.309820427	-0.422315317	-0.590896636	-0.595822214	0.114032089	-0.053413718	-0.074565908	-0.091962337	-0.48825394	-0.479939846	-0.58966315	-0.633479805	WALKING_DOWNSTAIRS
81	3	25	-0.220108595	-0.25946525	-0.220108595	-0.25946525	-0.500483331	-0.48297693	-0.216082566	-0.382160921	-0.664713625	-0.679605951	-0.288154788	-0.35943708	-0.471642112	-0.502224768	-0.485763582	-0.42370733	-0.687034281	-0.693032409	WALKING_DOWNSTAIRS
82	3	3	-0.062812612	-0.041134008	-0.062812612	-0.041134008	-0.205239247	-0.092632449	-0.215294501	-0.245794699	-0.508567577	-0.583919211	0.02894132	-0.233849422	-0.049477977	-0.159102288	-0.332376629	-0.322440827	-0.576277199	-0.624910821	WALKING_DOWNSTAIRS
83	3	23	0.127211138	0.230363964	0.127211138	0.230363964	0.112982476	0.2920872	0.039091548	0.05399729	-0.046311777	0.059490848	0.364829993	-0.045393035	0.335009724	0.224480504	0.150825735	-0.218930426	0.074675464	-0.039857378	WALKING_DOWNSTAIRS
84	3	21	0.245771699	0.264341904	0.245771699	0.264341904	-0.08022418	0.09523394	-0.18485002	-0.388420329	-0.452828682	-0.509130858	0.239895894	0.079127139	0.11244262	0.063205315	-0.406392284	-0.484489974	-0.490804948	-0.571666834	WALKING_DOWNSTAIRS
85	3	19	0.644604325	0.413472377	0.644604325	0.413472377	0.434490401	0.450612066	0.418004609	0.237821232	0.087581662	-0.043898502	0.586637551	0.082863062	0.538404846	0.316346415	0.203979765	0.032036667	-0.02290453	-0.143254548	WALKING_DOWNSTAIRS
86	3	17	0.148951104	0.091407676	0.148951104	0.091407676	-0.221631694	-0.206576684	-0.232641763	-0.352687281	-0.540325788	-0.592319491	0.058068052	-0.061887677	-0.1886804	-0.236538516	-0.409438758	-0.428868688	-0.57734888	-0.643399204	WALKING_DOWNSTAIRS
87	3	26	0.114379384	0.147001679	0.114379384	0.147001679	-0.148856266	-0.111303956	-0.235314623	-0.296158292	-0.41877981	-0.463140795	0.075101685	0.005749437	-0.153172029	-0.067941076	-0.334509947	-0.392990653	-0.472200753	-0.489497379	WALKING_DOWNSTAIRS
88	3	18	-0.293531974	-0.229934247	-0.293531974	-0.229934247	-0.466516044	-0.382517333	-0.381022815	-0.507995478	-0.701663074	-0.744159519	-0.241973535	-0.344299434	-0.383398713	-0.386565072	-0.604735414	-0.533844932	-0.744236045	-0.763430802	WALKING_DOWNSTAIRS
89	3	27	0.108071383	0.121176278	0.108071383	0.121176278	-0.115421211	-0.038636742	-0.164783207	-0.30795209	-0.440546586	-0.465807534	0.149816459	-0.071212004	0.010857564	-0.113625945	-0.359113725	-0.397984196	-0.467777769	-0.502831373	WALKING_DOWNSTAIRS
90	3	20	0.221851588	0.172636361	0.221851588	0.172636361	-0.061269984	0.046718584	0.093841944	-0.030576244	-0.268183424	-0.27559188	0.151887747	0.000242175	0.013791715	0.07903798	-0.100566104	-0.151681987	-0.311668473	-0.281657286	WALKING_DOWNSTAIRS
91	4	11	-0.961970764	-0.944581826	-0.961970764	-0.944581826	-0.979355635	-0.974511727	-0.951884472	-0.959964488	-0.989519031	-0.986256665	-0.953066009	-0.948521986	-0.975315332	-0.972289134	-0.969799951	-0.960711242	-0.987255973	-0.985607229	SITTING
92	4	4	-0.93569482	-0.914407845	-0.93569482	-0.914407845	-0.970132284	-0.96254911	-0.926063314	-0.928898293	-0.980490462	-0.97580669	-0.929002095	-0.91981571	-0.962500734	-0.961584519	-0.948769752	-0.928850554	-0.976547763	-0.976261754	SITTING
93	4	13	-0.957690564	-0.937935739	-0.957690564	-0.937935739	-0.989497839	-0.988813098	-0.951142644	-0.963940591	-0.992604304	-0.991414935	-0.95690156	-0.938529931	-0.988348535	-0.988332303	-0.973258278	-0.964268098	-0.991723742	-0.991219446	SITTING
94	4	5	-0.937978323	-0.920939028	-0.937978323	-0.920939028	-0.969320156	-0.965757732	-0.934301647	-0.93141481	-0.973848287	-0.97039261	-0.936290605	-0.925669291	-0.964440302	-0.966545323	-0.944760322	-0.934746865	-0.97159837	-0.970675403	SITTING
